"nid","published","created","changed","URL","Name of Institution","NK Import ID","Index Herbariorum Record","Institutional Code/Acronym","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution: Active?","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Latitude","Longitude","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium"
"6848","Yes","13 May 2013 - 11:51am EDT","16 June 2015 - 3:59pm EDT","http://usfsc.grscicoll.org/institution/smithsonian-tropical-research-institute","Smithsonian Tropical Research Institute","B3235","Yes","STRI","Herbarium",,,,,"urn:lsid:biocol.org:col:14898","http://biocol.org/urn:lsid:biocol.org:col:14898","Yes","Public, Federal: General","Herbarium","No loans. Collections of historic interest (Paul C. Standley, etc.) transferred to MO.","Apartado 2072",,,"Balboa",,,"Panama",,,,"BALBOA",,,"Panama","8.963","-79.5437","10322","PA 001","1923","Barro Colorado Island.",,"2200"
"6957","Yes","13 May 2013 - 11:51am EDT","21 February 2017 - 3:48pm EST","http://usfsc.grscicoll.org/institution/usdafs-southwest-region-terrestrial-ecological-unit-inventory","USDA/FS, Southwest Region, Terrestrial Ecological Unit Inventory","B3344","Yes","TEUI","U.S. Forest Service",,"http://seinet.asu.edu/seinet/index.php",,,,"http://grbio.org/cool/yd0a-zapw","Yes","Public, Federal: General","Herbarium","Entered Feb. 2009","Tonto National Forest","2324 E. McDowell Rd.",,"Phoenix","Arizona","85006","USA",,,,"Phoenix","Arizona","85006","USA","33.4658","-112.032","21090",,"1999","Collection from the United States Forest Service Southwest Region 3 (Arizona and New Mexico), mostly from the Tonto, Gila, Coconino, Prescott,  Coronado, Santa Fe,  and Kaibab National Forests.",,"5000"
"6974","Yes","13 May 2013 - 11:51am EDT","23 October 2017 - 11:20am EDT","http://usfsc.grscicoll.org/institution/doinps-sequoia-and-kings-canyon-national-parks-botany-collection","DOI/NPS, Sequoia and Kings Canyon National Parks Botany Collection","B3361","Yes","THRI","Ash Mountain Herbarium",,"http://www.nps.gov/seki",,,"urn:lsid:biocol.org:col:12523","http://biocol.org/urn:lsid:biocol.org:col:12523","Yes","Public, Federal: General","Herbarium","Updated October 2017. Herbarium available by appointment.  For more information on other collections at this National Park, see this record.","Ash Mountain Herbarium","47050 Generals Highway",,"Three Rivers","California","93271","USA","Parks Headquarters, Ash Mountain.",,,"THREE RIVERS","California","93271","USA","36.4212","-118.915","24642",,"1934","Sequoia and Kings Canyon National Parks and nearby southern Sierra Nevada.",,"3000"
"7003","Yes","13 May 2013 - 11:51am EDT","17 November 2016 - 3:33pm EST","http://usfsc.grscicoll.org/institution/usdafs-alaska-region","USDA/FS, Alaska Region","B3390","Yes","TNFS","U.S. Forest Service",,"http://www.fs.usda.gov/r10",,,"urn:lsid:biocol.org:col:12520","http://biocol.org/urn:lsid:biocol.org:col:12520","No","Public, Federal: General","Herbarium","Updated Sept. 2016 Herbarium was distributed to UBC, WTU, ALA, UAAH, US. Also, 3 cabinets are now at the Sitka Sound Science Center (384 Lincoln Street, Sitka, Alaska) Contact phone: 907-747-8878","204 Siginaka Way",,,"Sitka","Alaska","99835","USA",,,,"SITKA","Alaska","99835","USA","57.0575","-135.349","8871",,"1978","Vascular plants and bryophytes of southeastern Alaska; lichens of southeastern Alaska, northwestern Alaska, British Columbia, Sweden, and Central and South America.",,"11650"
"7122","Yes","13 May 2013 - 11:51am EDT","23 January 2017 - 12:25pm EST","http://usfsc.grscicoll.org/institution/doiblm-uinta-herbarium","DOI/BLM, Uinta Herbarium","B3509","Yes","UI","Uinta Herbarium",,,,,"urn:lsid:biocol.org:col:15450","http://biocol.org/urn:lsid:biocol.org:col:15450","Yes","Public, Federal: General","Herbarium","Updated Apr 2013.","Field Office","170 South 500 East",,"Vernal","Utah",,"USA",,,,"VERNAL","Utah","84078-2799","USA","40.4487","-109.5","25406",,"1978","Northeastern Utah, including Uinta Basin.",,"7000"
"7195","Yes","13 May 2013 - 11:51am EDT","1 April 2015 - 5:00pm EDT","http://usfsc.grscicoll.org/institution/smithsonian-institution","Smithsonian Institution","B3582","Yes","USNC","Herbarium",,,,,"urn:lsid:biocol.org:col:15463","http://biocol.org/urn:lsid:biocol.org:col:15463","Yes","Public, Federal: General","Herbarium","Updated May 2007. Types not sent on loan.","Paleobiology Department",,,"Washington","District of Columbia",,"USA",,,,"WASHINGTON","District of Columbia","20560-0001","USA","38.8887","-77.0255","18144",,"1964","Worldwide non-articulate coralline algae, especially of North Atlantic, Caribbean, and Hawaii.",,"28000"
"7249","Yes","13 May 2013 - 11:51am EDT","8 November 2016 - 3:02pm EST","http://usfsc.grscicoll.org/institution/doifws-ventura-herbarium","DOI/FWS, Ventura Herbarium","B3636","Yes","VFWO","Ventura Fish and Wildlife Office",,,,,,"http://grbio.org/cool/tsw9-4her","Yes","Public, Federal: General","Herbarium","Entered Apr 2011.","2493 Portola Road, Suite B",,,"Ventura","California",,"USA",,,,"Ventura","California","93003","USA","34.2507","-119.225","19404",,"2011","Plants of central and southern California that are federally listed, similar in appearance to plants that are federally listed, and sensitive (otherwise rare, threatened, or endangered).",,"1000"
"7291","Yes","13 May 2013 - 11:51am EDT","22 April 2015 - 2:50pm EDT","http://usfsc.grscicoll.org/institution/wasatch-cache-national-forest","Wasatch-Cache National Forest","B3676","Yes","WANF","Herbarium",,,,,"urn:lsid:biocol.org:col:15017","http://biocol.org/urn:lsid:biocol.org:col:15017","Yes","Public, Federal: General","Herbarium","Updated Apr 1997.","125 South State Street",,,"Salt Lake City","Utah",,"USA",,,,"SALT LAKE CITY","Utah","84138","USA","40.7723","-111.889","21704",,"1940","Wasatch National Forest, Utah.",,"250"
"7320","Yes","13 May 2013 - 11:52am EDT","8 November 2016 - 2:41pm EST","http://usfsc.grscicoll.org/institution/doiblm-winnemucca-district-herbarium","DOI/BLM, Winnemucca District Herbarium","B3702","Yes","WDNE","Bureau of Land Management, Winnemucca District",,,,,"urn:lsid:biocol.org:col:14926","http://biocol.org/urn:lsid:biocol.org:col:14926","Yes","Public, Federal: General","Herbarium","Updated Oct 2004.","5100 East Winnemucca Boulevard",,,"Winnemucca","Nevada",,"USA",,,,"WINNEMUCCA","Nevada","89445","USA","40.9774","-117.715","12596",,"1979","Vascular plants of northern Nevada and western Great Basin.",,"1500"
"7457","Yes","13 May 2013 - 11:52am EDT","8 July 2016 - 11:22am EDT","http://usfsc.grscicoll.org/institution/doinps-yellowstone-national-park-botany-collection","DOI/NPS, Yellowstone National Park Botany Collection","B3827","Yes","YELLO",,,"www.nps.gov/yell",,,"urn:lsid:biocol.org:col:15050","http://biocol.org/urn:lsid:biocol.org:col:15050","Yes","Public, Federal: General",,"Updated Octover 2012  Secondary Contact:  Tef Rodeffer, Intermountain Museum Services Program Manager  tef_rodeffer@nps.gov  520-791-6401 (phone)  520-791-6465 (fax)  Tuscon, AZ 85745","P.O. Box 168",,,"Yellowstone National Park","Wyoming","82190","USA","Heritage Research Center",,,"YELLOWSTONE NATIONAL PARK","Wyoming","82190","USA","44.9752","-110.695","24642",,"1924","Yellowstone National Park; all groups except microscopic algae.",,"16000"
"7468","Yes","13 May 2013 - 11:52am EDT","8 July 2016 - 2:43pm EDT","http://usfsc.grscicoll.org/institution/doinps-yosemite-national-park-botany-collection","DOI/NPS, Yosemite National Park Botany Collection","B3837","Yes","YM",,,"www.nps.gov/yose",,,"urn:lsid:biocol.org:col:15476","http://biocol.org/urn:lsid:biocol.org:col:15476","Yes","Public, Federal: General","Herbarium","Updated Aug 2007.  For more information on other collections at this National Park, see this record.","Yosemite National Park","P.O. Box 577",,"Yosemite National Park","California","95389","USA",,,,"YOSEMITE NATIONAL PARK","California","95389","USA","37.5327","-119.634","24642",,"1924","Yosemite National Park and vicinity.",,"7200"
"7563","Yes","13 May 2013 - 11:52am EDT","24 February 2017 - 3:34pm EST","http://usfsc.grscicoll.org/institution/usdafs-rocky-mountain-forest-and-range-experiment-station","USDA/FS, Rocky Mountain Forest and Range Experiment Station","B436","Yes","ALBU","U.S. Forest Service",,"https://www.fs.fed.us/rmrs/",,,"urn:lsid:biocol.org:col:14995","http://biocol.org/urn:lsid:biocol.org:col:14995","Yes","Public, Federal: General","Herbarium",,"2205 Columbia S.E.",,,"Albuquerque","New Mexico","87106","USA",,,,"ALBUQUERQUE","New Mexico","87106","USA","35.0547","-106.616","10945",,"1955","Forage plants of New Mexico and Arizona.",,"1222"
"7631","Yes","13 May 2013 - 11:52am EDT","18 October 2016 - 2:22pm EDT","http://usfsc.grscicoll.org/institution/usdaars-us-plant-soil-and-nutrition-laboratory","USDA/ARS, U.S. Plant, Soil and Nutrition Laboratory","B504","Yes","ARSEF","Herbarium",,"http://www.ars.usda.gov/Main/site_main.htm?modecode=19-07-05-10",,,"urn:lsid:biocol.org:col:14687","http://biocol.org/urn:lsid:biocol.org:col:14687","Yes","Public, Federal: General","Herbarium","Updated Feb 2011.  Herbarium and slide collection associated with world's largest, most active collection of entomopathogenic fungal cultures.The URL for the link to the ARSEF culture collection is: http://www.ars.usda.gov/Main/docs.htm?docid=12125","Plant Protection Research Unit","Tower Road",,"Ithaca","New York",,"USA",,,,"ITHACA","New York","14853-2901","USA","42.4462","-76.47","14508",,"1980","Entomopathogenic fungi worldwide, especially Entomophthorales (zygomycetes), hyphomycetes, and entomopathogenic ascomycetes.",,"1500"
"7646","Yes","13 May 2013 - 11:52am EDT","28 February 2017 - 10:59am EST","http://usfsc.grscicoll.org/institution/usdafs-rocky-mountain-research-station-flagstaff-az","USDA/FS, Rocky Mountain Research Station - Flagstaff, AZ","B519","Yes","ASUF","U.S. Forest Service",,"https://www.fs.fed.us/rmrs/",,,"urn:lsid:biocol.org:col:14935","http://biocol.org/urn:lsid:biocol.org:col:14935","Yes","Public, Federal: General","Herbarium","Herbarium. ASUF moved from Tempe to Flagstaff in 1992. Formerly listed under TEMPE.","Southwest Forest Science Complex","2500 South Pine Knoll Drive",,"Flagstaff","Arizona","86001","USA",,,,"FLAGSTAFF","Arizona","86001","USA","35.1755","-111.656","19593",,"1930","Southwestern U.S.",,"9500"
"7696","Yes","13 May 2013 - 11:52am EDT","16 August 2016 - 11:40am EDT","http://usfsc.grscicoll.org/institution/usdaars-systematic-botany-and-mycology-laboratory","USDA/ARS, Systematic Botany and Mycology Laboratory","B569","Yes","BARC","U.S. National Seed Herbarium",,"http://www.ars.usda.gov/main/site_main.htm?modecode=12-75-39-00",,,"urn:lsid:biocol.org:col:14167","http://biocol.org/urn:lsid:biocol.org:col:14167","Yes","Public, Federal: General","Herbarium","Nomenclature of over 75 000 economic vascular plant names for Germplasm Resources Information Network (GRIN) databank.","10300 Baltimore Avenue, Building 011A, BARC-West",,,"Beltsville","Maryland",,"USA","Henry A. Wallace Beltsville Agricultural Research Center-West, Building 011A.",,,"BELTSVILLE","Maryland","20705-2350","USA","39.0223","-76.9234","10441","US 014","1908","Seed plant families worldwide.",,"120000"
"7717","Yes","13 May 2013 - 11:52am EDT","8 November 2016 - 2:37pm EST","http://usfsc.grscicoll.org/institution/doiblm-boise-district-herbarium","DOI/BLM, Boise District Herbarium","B590","Yes","BBLM","Boise District Bureau of Land Management",,,,,,"http://grbio.org/cool/iz93-xxvw","Yes","Public, Federal: General","Herbarium","Entered Feb 2011. Includes satellite herbarium at Owyhee Field Office in Marsing, Idaho.","3948 Development Ave.",,,"Boise","Idaho","83705","USA","3948 Development Ave",,,"Boise","Idaho","83705","USA","43.5667","-116.207","18466",,"1970","Plants of  Idaho",,"3750"
"7757","Yes","13 May 2013 - 11:52am EDT","14 December 2016 - 10:49am EST","http://usfsc.grscicoll.org/institution/usdafs-forest-products-laboratory","USDA/FS, Forest Products Laboratory","B630","Yes","BFDL","U.S. Forest Service, Herbarium",,"http://www.fpl.fs.fed.us/",,,"urn:lsid:biocol.org:col:13025","http://biocol.org/urn:lsid:biocol.org:col:13025","No","Public, Federal: General","Herbarium","BFDL relocated at CFMR in MADISON. BFDL same as CFMR. Use CFMR.","Center for Forest Mycology Research","One Gifford Pinchot Drive",,"Madison","Wisconsin","53726","USA",,,,"MADISON","Wisconsin","53705-2398","USA","43.0746","-89.4276","20862",,,,,
"7801","Yes","13 May 2013 - 11:52am EDT","8 November 2016 - 2:36pm EST","http://usfsc.grscicoll.org/institution/doiblm-lakeview-district-herbarium","DOI/BLM, Lakeview District Herbarium","B674","Yes","BLMLK","Lakeview District, Oregon",,"http://www.blm.gov/or/districts/lakeview/overview.php",,,"urn:lsid:biocol.org:col:14881","http://biocol.org/urn:lsid:biocol.org:col:14881","Yes","Public, Federal: General","Herbarium","Updated Mar 2013 (staff update).","1301 South G Street",,,"Lakeview","Oregon",,"USA",,,,"LAKEVIEW","Oregon","97630","USA","42.1823","-120.42","20016",,"1977","Northern California; southern Oregon; northwestern Nevada.",,"6000"
"7809","Yes","13 May 2013 - 11:52am EDT","28 February 2017 - 10:59am EST","http://usfsc.grscicoll.org/institution/usdafs-bitterroot-national-forest","USDA/FS, Bitterroot National Forest","B682","Yes","BNFH","U.S. Forest Service",,"http://www.fs.usda.gov/bitterroot",,,,"http://grbio.org/cool/vejv-wags","Yes","Public, Federal: General","Herbarium","The 1.6 million acre Bitterroot National Forest, in west central Montana and east central Idaho, is part of the Northern Rocky Mountains. National Forest land begins above the foothills of the Bitterroot River Valley in two mountain ranges--the Bitterroot Mountains on the west and the Sapphire Mountains on the east side of the valley. The nearest urban area is Missoula, Montana, located 40 miles north of Hamilton, Montana.","1801 N. First St.",,,"Hamilton","Montana","59840","USA",,,,"Hamilton","Montana","59840","USA","46.2704","-114.158","22845",,"1935","Plants of the Bitterroot National Forest.",,"1000"
"7822","Yes","13 May 2013 - 11:52am EDT","28 February 2017 - 11:34am EST","http://usfsc.grscicoll.org/institution/usdafs-rocky-mountain-research-station-boise-aquatic-sciences-lab","USDA/FS, Rocky Mountain Research Station, Boise Aquatic Sciences Lab","B695","Yes","BOIS","U.S. Forest Service; Rocky Mountain Research Station Herbarium","Biological Sciences: Ecology","http://www.fs.fed.us/rm/boise/research/shrub/greatbasin.shtml","http://www.pnwherbaria.org/data/providermetadata.php?code=BOIS",,"urn:lsid:biocol.org:col:15453","http://biocol.org/urn:lsid:biocol.org:col:15453","Yes","Public, Federal: General","Herbarium","""The Rocky Mountain Research Station is one of seven units that make up the U.S. Forest Service Research and Development organization, “the most extensive natural resources research organization in the world""","USDA Forest Service","322 E. Front Street, Suite 401",,"Boise","Idaho","83702","USA",,,,"Boise","Idaho","83702","USA","43.6083","-116.194","25077",,"1940","Central and southern Idaho; Intermountain Juncaceae, Cyperaceae, and Great Basin forbs.",,"8807"
